                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.30555,                0.86579,                 1.0495,                0.97221,                      1,                  0.995,                  0.995,                0.21063,                0.48566,                0.34516,             0.00065886,             0.00065886,             0.00065886
                     80,                0.30359,                0.78886,                 1.0016,                0.97038,                      1,                  0.995,                  0.995,                0.22602,                0.64834,                0.35196,             0.00065816,             0.00065816,             0.00065816
                     81,                0.28156,                0.81124,                0.98178,                0.96434,                      1,                  0.995,                  0.995,                0.26405,                0.80685,                 0.3953,             0.00065745,             0.00065745,             0.00065745
                     82,                0.29089,                0.80766,                 1.0098,                0.95919,                      1,                  0.995,                  0.995,                0.30664,                0.95222,                0.43981,             0.00065674,             0.00065674,             0.00065674
                     83,                 0.3132,                0.75449,                 1.0018,                0.94812,                      1,                  0.995,                0.96183,                0.30313,                0.85744,                0.44115,             0.00065604,             0.00065604,             0.00065604
                     84,                0.31874,                0.87563,                 1.0502,                0.92709,                      1,                  0.995,                0.96183,                0.28073,                0.85567,                0.41677,             0.00065533,             0.00065533,             0.00065533
                     85,                 0.2812,                  1.195,                 1.0692,                0.93663,                      1,                  0.995,                  0.995,                0.20636,                 0.6041,                0.32299,             0.00065462,             0.00065462,             0.00065462
                     86,                0.26718,                0.79313,                  1.008,                0.96081,                      1,                  0.995,                  0.995,                 0.1922,                0.54998,                0.31227,             0.00065392,             0.00065392,             0.00065392
                     87,                0.31842,                0.96763,                 1.0456,                0.96734,                      1,                  0.995,                  0.995,                0.20108,                0.57608,                 0.3241,             0.00065321,             0.00065321,             0.00065321
                     88,                0.31437,                0.89861,                 1.0523,                0.96432,                      1,                  0.995,                  0.995,                0.20177,                0.59196,                0.33395,              0.0006525,              0.0006525,              0.0006525
                     89,                0.27468,                 0.7901,                0.98717,                0.94678,                      1,                  0.995,                  0.995,                0.20348,                0.53689,                0.35073,              0.0006518,              0.0006518,              0.0006518
